p_ID	p_Name	p_Brand	p_link	p_price	p_category	p_sku	p_stars	p_nReviews
	P268300	Abeille Royale Daily Repair Serum	Lancer	https://www.sephora.com/product/repairwear-laser-focus-P268300	42.00	Face Serums	1602846	4.1244	651
	P416728	Wild Rose 15% Vitamin C Spotless Serum	NARS	https://www.sephora.com/product/capture-totale-dreamskin-advanced-refill-P416728	86.00	Face Serums	1490150	5.0	7
	P437240	Capture Totale Dreamskin Advanced Refill	bareMinerals	https://www.sephora.com/product/firming-serum-with-energy-peptides-P437240	100.00	Face Serums	1328053	4.4609	128
	P188907	Help Me	Proactiv	https://www.sephora.com/product/post-acne-spot-lightening-gel-P188907	85.00	Face Serums	784421	3.7439	449
	P427509	Post-Acne Spot Lightening Gel	Erborian	https://www.sephora.com/product/premier-cru-serum-P427509	47.00	Face Serums	1685916	4.0946	74
	P440059	Premier Cru Serum	philosophy	https://www.sephora.com/product/blackhead-dissolving-gel-P440059	95.00	Face Serums	2028413	5.0	1
	P418870	Blackhead Dissolving Gel	Dior	https://www.sephora.com/product/black-pine-3d-sculpting-firming-lifting-face-serum-P418870	95.00	Face Serums	2028405	4.5833	24
	P416826	Bye Bye Pores Primer™ Oil-Free Poreless Skin-Perfecting Serum Primer	Murad	https://www.sephora.com/product/fab-skin-lab-resurfacing-liquid-10-aha-P416826	229.00	Face Serums	2138402	4.4667	105
	P388974	FAB Skin Lab Resurfacing Liquid 10% AHA	AMOREPACIFIC	https://www.sephora.com/product/hyalo-plasma-hyaluronic-intensive-moisturizer-P388974	98.00	Face Serums	1658251	4.4656	262
	P433951	High Potency Classics: Hyaluronic Intensive Moisturizer	Murad	https://www.sephora.com/product/essential-fx-acyl-glutathione-deep-crease-serum-P433951	95.00	Face Serums	1675891	4.6276	145
	P4647	Peptidin™ Firming Serum with Energy Peptides	LANEIGE	https://www.sephora.com/product/help-me-P4647	59.00	Face Serums	1942556	4.3645	1177
	P411400	Black Pine 3D Sculpting, Firming & Lifting Face Serum	Clarins	https://www.sephora.com/product/bye-bye-pores-primer-oil-free-poreless-skin-perfecting-serum-primer-P411400	75.00	Face Serums	2032043	3.6264	174
