c_name	c_eyecolor	c_haircolor	c_skintone	c_skintype	c_skinconcerns	c_age
ShelleyLC	hazel	auburn	fair	combination	None	35to44
MagsRobs	hazel	brunette	fair	combination	acne	None
MadiSuchSki	brown	brunette	medium	oily	acne	None
chelsilb	green	blonde	medium	combination	acne	None
VVictoria17	hazel	blonde	porcelain	combination	acne	None
BreeBib	hazel	blonde	light	combination	aging	None
MissJeena	brown	black	deep	combination	blackheads	35to44
mollyh93	blue	brunette	light	dry	acne	None
kaleyyyyy	brown	blonde	light	dry	acne	None
NicoleSekloch	brown	brunette	olive	oily	acne	None
HannahKaytlin	brown	brunette	fair	combination	acne	None
jennaj95	blue	blonde	fair	combination	acne	None
ChristianT	brown	blonde	light	dry	acne	None
Becky723	blue	blonde	medium	combination	blackheads	None
MarissaM47	green	brunette	fair	dry	acne	None
emmerella	brown	brunette	light	dry	acne	None
jjcamer187	blue	blonde	fair	combination	aging	None
ClaireH14	brown	black	olive	oily	darkCircles	None
JJVO19	hazel	blonde	fair	combination	dullness	over54
Acl5292	green	blonde	fair	combination	acne	None
LSW617	brown	brunette	fair	combination	acne	25to34
conniecanxx	brown	brunette	light	combination	aging	None
Emberry1105	green	blonde	light	combination	acne	None
suechai3	brown	black	medium	combination	None	35to44
NOneRouge	blue	blonde	fair	normal	cuticles	None
Katiesque	blue	red	fair	oily	acne	None
TiffanySch	brown	blonde	light	oily	acne	None
miraaldini	brown	brunette	light	combination	acne	None
LexiLou05	green	blonde	porcelain	combination	acne	None
chertieu	brown	black	light	combination	acne	None
sarbear59	brown	brunette	fair	combination	None	None
nancyyng	brown	black	medium	dry	darkCircles	None
tabernathy	green	brunette	medium	combination	acne	None
jada25	brown	brunette	light	combination	blackheads	None
Pdosch	blue	blonde	medium	combination	blackheads	None
smilingaway	brown	black	light	oily	acne	None
AbbieJoAnn	green	blonde	fair	dry	darkCircles	None
Vikkibowlsb	blue	brunette	fair	combination	redness	None
Marlaynajulie	green	black	medium	combination	None	None
